Simulation,GSx,"WiGS (MAB-UCB1, c=0.5)",WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (SAC),GSy,WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (MAB-UCB1, c=2.0)",QBC,"WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=5.0)",Passive Learning,iGS
74,19.609352111816406,28.351126432418823,35.239665269851685,34.5669047832489,39.491639375686646,20.306090116500854,33.928499698638916,28.902193546295166,28.14256238937378,26.817469120025635,34.84606599807739,27.897273302078247,17.450874090194702,23.598530292510986
75,19.828882932662964,29.25505805015564,29.119724988937378,28.683282375335693,40.68363428115845,20.47476100921631,32.855215072631836,29.043684005737305,29.18000078201294,26.90343403816223,33.52736759185791,33.45012807846069,17.710201740264893,24.492525100708008
76,20.119497299194336,28.30012273788452,30.19889259338379,29.582490921020508,39.24863052368164,20.702704191207886,35.228718280792236,35.105812311172485,28.31562304496765,27.14664578437805,35.25146698951721,32.64715504646301,17.666679859161377,24.31920075416565
77,19.440913200378418,32.22410464286804,31.867120265960693,32.08177971839905,37.93840146064758,20.056703567504883,27.1787109375,31.794764280319214,27.055041313171387,26.81834363937378,32.17316198348999,32.15334486961365,17.372357845306396,22.283836364746094
78,19.556163787841797,30.838056802749634,31.664271593093872,31.77142858505249,38.61362338066101,20.24377965927124,27.55371904373169,26.856918811798096,31.437256336212158,26.905253887176514,30.282132387161255,27.28828740119934,17.611910581588745,22.62580704689026
79,19.5976722240448,27.834750175476074,31.930344343185425,27.750669479370117,40.99697780609131,20.204912185668945,27.61245560646057,26.925268411636353,27.518824577331543,26.970099449157715,27.647540807724,27.333247900009155,17.379783391952515,22.480774402618408
80,19.554980754852295,30.202858448028564,31.804996728897095,31.93027687072754,37.76825785636902,20.273142337799072,31.196409463882446,30.674681901931763,26.4243381023407,27.00129222869873,30.127523183822632,26.90536093711853,17.73571276664734,22.62933921813965
81,19.649260759353638,33.829209327697754,33.32316970825195,33.16220569610596,41.06425714492798,20.288055896759033,28.376296281814575,32.59206247329712,28.110909700393677,26.82565975189209,34.478177309036255,33.76810669898987,17.388916730880737,23.15869927406311
82,20.326343297958374,35.45692825317383,34.10829424858093,36.46893882751465,44.63500380516052,20.923382997512817,35.81233739852905,35.40217423439026,36.432440757751465,26.887402534484863,35.91316294670105,36.69919180870056,17.429838180541992,25.50588059425354
83,19.71009588241577,28.343186616897583,31.92762327194214,32.17357110977173,40.496094942092896,20.5272696018219,31.979947090148926,28.263901710510254,28.306958198547363,27.143869876861572,32.1516170501709,28.11639380455017,17.466687440872192,23.36757206916809
