Simulation,Passive Learning,GSx,GSy,iGS,Uncertainty Sampling,EGAL,EMCM,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC),QBC
64,4.9046971797943115,5.134175062179565,5.282557010650635,5.384251832962036,5.20501446723938,5.440605401992798,5.084829807281494,5.394413948059082,5.396933317184448,5.412856101989746,5.39363694190979,5.398973703384399,5.396741628646851,5.514485597610474,5.419299364089966,9.78397798538208,7.776033163070679
65,5.9968931674957275,6.215060472488403,6.474038600921631,6.68131160736084,6.426469564437866,6.876364231109619,6.339609146118164,6.8187642097473145,6.808027029037476,6.801527738571167,6.80547022819519,6.829398155212402,6.820472955703735,6.942277193069458,6.799083471298218,9.876012086868286,9.688833236694336
66,4.953945159912109,5.206773996353149,5.367455005645752,5.455930948257446,5.379573106765747,5.704095840454102,5.106719017028809,5.521773099899292,5.509424209594727,5.534802198410034,5.539706468582153,5.533234596252441,5.531654357910156,5.674091339111328,5.546414136886597,19.789226531982422,7.905729293823242
67,4.997563362121582,5.223414421081543,5.371212720870972,5.473926544189453,5.267789125442505,5.6879494190216064,5.139259338378906,5.557490587234497,5.580741882324219,5.61680793762207,5.56522011756897,5.535430669784546,5.574314832687378,5.710813760757446,5.579405307769775,8.071891784667969,7.85527229309082
68,5.99656081199646,6.209238767623901,6.490242004394531,6.69975209236145,6.451949834823608,6.823907852172852,6.347204685211182,6.782043218612671,6.80694055557251,6.780790328979492,6.815345048904419,6.842737197875977,6.83279013633728,6.946321725845337,6.7872254848480225,9.937223672866821,9.716760873794556
69,5.646806478500366,5.961284875869751,6.091055393218994,5.794105291366577,5.537574291229248,5.974961996078491,5.42794394493103,5.906252145767212,6.280010938644409,6.345991134643555,6.367504596710205,6.329944849014282,6.38935923576355,6.513897657394409,6.448540687561035,9.152082920074463,9.127130270004272
70,4.971830129623413,5.170618534088135,5.339666128158569,5.419975996017456,5.449045419692993,5.706286430358887,5.100320339202881,5.504033803939819,5.487231731414795,5.4966466426849365,5.502410411834717,5.526450157165527,5.4848198890686035,5.504598140716553,5.6348557472229,20.021660804748535,7.9359564781188965
71,4.993390798568726,5.209688425064087,5.366286754608154,5.453650951385498,5.40817928314209,5.7241621017456055,5.12778902053833,5.529431104660034,5.547227382659912,5.557979583740234,5.560718536376953,5.544841289520264,5.545727252960205,5.711044073104858,5.564470529556274,19.727043867111206,7.805437088012695
72,5.770355701446533,5.971261501312256,6.173954010009766,5.93442702293396,5.618060111999512,5.918339014053345,5.50197958946228,5.826402425765991,6.239189863204956,6.407402992248535,6.3942883014678955,6.35702919960022,6.39190936088562,6.520516395568848,6.44226336479187,9.06564998626709,9.18416690826416
73,6.041508674621582,6.268741130828857,6.514760255813599,6.793312072753906,6.515055179595947,6.927321434020996,6.40495228767395,6.899832725524902,6.88217568397522,6.902780055999756,6.888989448547363,6.929124593734741,6.91682243347168,6.860032320022583,7.047813177108765,9.859817028045654,9.798550367355347
